paper_id	arXiv_id
350	1905.08369
351	2006.01367
352	2203.15778
353	2208.04148
354	2104.01766
355	2210.04728
356	2108.1108
357	1904.05737
358	1906.04809
359	2211.06578
360	2206.09752
361	2109.02706
362	2007.11901
363	2205.13061
364	1606.0146
365	2204.09636
366	1610.07931
367	2209.09841
368	1909.04942
369	1607.00417
370	2001.05071
371	1801.01444
372	1912.04384
373	2109.09808
374	1903.03299
375	1505.01306
376	1502.04312
377	2105.10228
378	1807.01569
379	1711.02217
380	2206.10329
381	2003.06999
382	2211.00558
383	1708.06779
384	2105.14314
385	2208.00461
386	2108.00048
387	2103.13339
388	1909.04161
389	1706.09516
390	1612.01082
391	2005.12193
392	1706.05587
393	2206.14081
394	1704.06731
395	2108.05009
396	2204.07883
397	2108.01958
398	1705.07311
399	2208.05069
400	2108.09228
401	1708.00335
402	1711.09543
403	2104.04073
404	1805.03788
405	2203.16787
406	2203.00861
407	1707.08468
408	1701.0452
409	2110.07994
410	2107.05363
411	1611.07752
412	1711.09358
413	1608.05246
414	2201.06534
415	1702.08652
416	2207.08082
417	2012.06132
418	2001.01173
419	1703.01396
420	1605.05912
421	2110.0711
422	1807.077
423	2108.12868
424	2204.11335
425	2203.10492
426	1602.00801
427	1808.09839
428	1511.04808
429	2110.02903
430	1901.11388
431	2008.09837
432	2007.08071
433	2107.13718
434	1611.05109
435	2108.05165
436	2203.02358
437	2107.02411
438	2110.06736
439	1803.07985
440	2007.04717
441	1611.08131
442	1907.11565
443	2108.11635
444	2205.00952
445	2005.0928
446	1906.12118
447	2110.00888
448	2203.15662
449	2203.04031
450	1904.11111
451	1907.00549
452	1806.03318
453	1808.0474
454	2009.07916
455	2206.07698
456	1804.03301
457	1603.02518
458	2107.07805
459	2006.04631
460	1512.03384
461	1803.11527
462	2209.0492
463	1611.05206
464	1706.08713
465	1610.01376
466	1709.02371
467	1612.00144
468	1804.04875
469	1810.03065
470	1506.03184
471	2202.06588
472	2109.0431
473	1903.06399
474	2106.09157
475	1502.0478
476	2107.07076
477	2209.1521
478	1902.089
479	1701.00165
480	1603.08754
481	2012.03438
482	2210.05561
483	1811.11941
484	1901.03088
485	2012.10674
486	2010.05508
487	1708.02733
488	1705.00347
489	2105.1072
490	2005.12494
491	1802.1024
492	2010.13116
493	2110.09768
494	2011.11007
495	2202.10821
496	2107.07041
497	2209.14093
498	1505.00192
499	1805.1182
500	1401.6013
501	2111.0545
502	1911.09963
503	1808.07416
504	2107.08717
505	2109.03783
506	1806.00178
507	2112.14359
508	2002.06171
509	2103.14341
510	1811.12546
511	2202.10769
512	1811.08965
513	2103.05427
514	2202.0325
515	2202.13855
516	2008.07246
517	2107.11963
518	1804.02586
519	2206.11561
520	1606.05355
521	1905.01003
522	2001.07776
523	2102.04727
524	2206.00902
525	1704.08218
526	2203.07691
527	1208.4173
528	2103.01983
529	2206.0649
530	2202.08805
531	2109.13167
532	1810.04956
533	1903.05244
534	2203.12193
535	1603.09742
536	2207.12174
537	1702.08169
538	2009.13684
539	2108.02888
540	2208.14957
541	2002.06974
542	1803.01969
543	1208.4942
544	1910.05595
545	1711.08769
546	2001.06612
547	2001.06499
548	2012.1442
549	2107.0389
550	1901.11267
551	1901.04619
552	1511.04668
553	2204.07943
554	2106.03894
555	2104.0978
556	1602.0598
557	1809.05343
558	2011.12762
559	2012.07585
